UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15326937     RESP   1301 
     15326945     RESP   1313 
     15326953     RESP   1331 
     15326961     RESP   1349 
     15326969     RESP   1358 
     15326977     RESP   1370 
     15326985     RESP   1382 
     15326993     RESP   1394 
     15327001     RESP   1409 
     15327009     RESP   1424 
     15327017     RESP   1448 
     15327025     RESP   1472 
     15327033     RESP   1505 
     15327041     RESP   1535 
     15327049     RESP   1565 
     15327057     RESP   1604 
     15327065     RESP   1640 
     15327073     RESP   1679 
     15327081     RESP   1721 
     15327089     RESP   1763 
     15327097     RESP   1811 
     15327105     RESP   1859 
     15327113     RESP   1907 
     15327121     RESP   1955 
     15327129     RESP   2000 
     15327145     RESP   2105 
     15327153     RESP   2171 
     15327161     RESP   2240 
     15327169     RESP   2291 
     15327177     RESP   2330 
     15327185     RESP   2351 
     15327193     RESP   2363 
     15327201     RESP   2363 
     15327209     RESP   2378 
     15327217     RESP   2408 
     15327225     RESP   2441 
     15327233     RESP   2477 
     15327241     RESP   2525 
     15327249     RESP   2582 
     15327257     RESP   2642 
     15327265     RESP   2708 
     15327273     RESP   2759 
     15327281     RESP   2807 
     15327289     RESP   2849 
     15327297     RESP   2900 
     15327305     RESP   2957 
     15327313     RESP   3014 
     15327321     RESP   3059 
     15327329     RESP   3092 
     15327337     RESP   3125 
     15327345     RESP   3164 
     15327353     RESP   3203 
     15327361     RESP   3245 
     15327369     RESP   3287 
     15327377     RESP   3326 
     15327385     RESP   3371 
     15327393     RESP   3410 
     15327401     RESP   3455 
     15327409     RESP   3494 
     15327417     RESP   3518 
     15327425     RESP   3539 
     15327433     RESP   3557 
     15327441     RESP   3575 
     15327449     RESP   3596 
     15327457     RESP   3614 
     15327465     RESP   3638 
     15327473     RESP   3653 
     15327481     RESP   3671 
     15327489     RESP   3686 
     15327497     RESP   3698 
     15327505     RESP   3713 
     15327513     RESP   3722 
     15327521     RESP   3731 
     15327529     RESP   3743 
     15327537     RESP   3752 
     15327545     RESP   3752 
     15327553     RESP   3743 
     15327561     RESP   3740 
     15327569     RESP   3740 
     15327577     RESP   3752 
     15327585     RESP   3764 
     15327593     RESP   3740 
     15327601     RESP   3689 
     15327609     RESP   3629 
     15327617     RESP   3560 
     15327625     RESP   3479 
     15327633     RESP   3398 
     15327641     RESP   3329 
     15327649     RESP   3260 
     15327657     RESP   3194 
     15327665     RESP   3128 
     15327673     RESP   3062 
     15327681     RESP   2999 
     15327689     RESP   2939 
     15327697     RESP   2876 
     15327705     RESP   2810 
     15327713     RESP   2741 
     15327721     RESP   2678 
     15327729     RESP   2630 
     15327737     RESP   2588 
     15327745     RESP   2543 
     15327753     RESP   2480 
     15327761     RESP   2423 
     15327769     RESP   2360 
     15327777     RESP   2300 
     15327785     RESP   2246 
     15327793     RESP   2195 
     15327801     RESP   2147 
     15327809     RESP   2108 
     15327817     RESP   2081 
     15327825     RESP   2054 
     15327833     RESP   2015 
     15327841     RESP   1973 
     15327849     RESP   1940 
     15327857     RESP   1910 
     15327865     RESP   1871 
     15327873     RESP   1835 
     15327881     RESP   1799 
     15327889     RESP   1766 
     15327897     RESP   1739 
     15327905     RESP   1709 
     15327913     RESP   1679 
     15327921     RESP   1655 
     15327929     RESP   1622 
     15327937     RESP   1598 
     15327945     RESP   1568 
     15327953     RESP   1544 
     15327961     RESP   1520 
     15327969     RESP   1499 
     15327977     RESP   1472 
     15327985     RESP   1451 
     15327993     RESP   1436 
     15328001     RESP   1427 
     15328009     RESP   1424 
     15328017     RESP   1421 
     15328025     RESP   1409 
     15328033     RESP   1391 
     15328041     RESP   1364 
     15328049     RESP   1313 
     15328057     RESP   1250 
     15328065     RESP   1196 
     15328073     RESP   1151 
     15328081     RESP   1118 
     15328089     RESP   1100 
     15328097     RESP   1091 
     15328105     RESP   1088 
     15328113     RESP   1091 
     15328121     RESP   1091 
     15328129     RESP   1088 
     15328137     RESP   1079 
     15328145     RESP   1067 
     15328153     RESP   1067 
     15328161     RESP   1079 
     15328169     RESP   1094 
     15328177     RESP   1097 
     15328185     RESP   1094 
     15328193     RESP   1091 
     15328201     RESP   1091 
     15328209     RESP   1100 
     15328217     RESP   1106 
     15328225     RESP   1112 
     15328233     RESP   1118 
     15328241     RESP   1124 
     15328249     RESP   1127 
     15328257     RESP   1136 
     15328265     RESP   1145 
     15328273     RESP   1148 
     15328281     RESP   1151 
     15328289     RESP   1151 
     15328297     RESP   1163 
     15328305     RESP   1169 
     15328313     RESP   1175 
     15328321     RESP   1178 
     15328329     RESP   1187 
     15328337     RESP   1190 
     15328345     RESP   1196 
     15328353     RESP   1199 
     15328361     RESP   1208 
     15328369     RESP   1214 
     15328377     RESP   1223 
     15328385     RESP   1232 
     15328393     RESP   1238 
     15328401     RESP   1244 
     15328409     RESP   1250 
     15328417     RESP   1259 
     15328425     RESP   1268 
     15328433     RESP   1283 
     15328441     RESP   1295 
     15328449     RESP   1301 
     15328457     RESP   1301 
     15328465     RESP   1307 
     15328473     RESP   1322 
     15328481     RESP   1340 
     15328489     RESP   1358 
     15328497     RESP   1370 
     15328505     RESP   1373 
     15328513     RESP   1352 
     15328521     RESP   1310 
     15328529     RESP   1268 
     15328537     RESP   1241 
     15328545     RESP   1220 
     15328553     RESP   1217 
     15328561     RESP   1223 
     15328569     RESP   1235 
     15328577     RESP   1253 
     15328585     RESP   1268 
     15328593     RESP   1283 
     15328601     RESP   1289 
     15328609     RESP   1289 
     15328617     RESP   1298 
     15328625     RESP   1319 
     15328633     RESP   1346 
     15328641     RESP   1370 
     15328649     RESP   1385 
     15328657     RESP   1400 
     15328665     RESP   1415 
     15328673     RESP   1439 
     15328681     RESP   1463 
     15328689     RESP   1490 
     15328697     RESP   1526 
     15328705     RESP   1565 
     15328713     RESP   1607 
     15328721     RESP   1655 
     15328729     RESP   1703 
     15328737     RESP   1748 
     15328745     RESP   1796 
     15328753     RESP   1838 
     15328761     RESP   1880 
     15328769     RESP   1928 
     15328777     RESP   1979 
     15328785     RESP   2030 
     15328793     RESP   2081 
     15328801     RESP   2129 
     15328809     RESP   2180 
     15328817     RESP   2231 
     15328825     RESP   2282 
     15328833     RESP   2333 
     15328841     RESP   2387 
     15328849     RESP   2441 
     15328857     RESP   2495 
     15328865     RESP   2546 
     15328873     RESP   2603 
     15328881     RESP   2660 
     15328889     RESP   2717 
     15328897     RESP   2774 
     15328905     RESP   2822 
     15328913     RESP   2873 
     15328921     RESP   2924 
     15328929     RESP   2984 
     15328937     RESP   3056 
     15328945     RESP   3119 
     15328953     RESP   3161 
     15328961     RESP   3179 
     15328969     RESP   3182 
     15328977     RESP   3179 
     15328985     RESP   3182 
     15328993     RESP   3188 
     15329001     RESP   3203 
     15329009     RESP   3224 
     15329017     RESP   3254 
     15329025     RESP   3290 
