UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15323153     PULS   1625 
     15323155     PULS   1613 
     15323157     PULS   1589 
     15323159     PULS   1566 
     15323161     PULS   1554 
     15323163     PULS   1554 
     15323165     PULS   1542 
     15323167     PULS   1542 
     15323169     PULS   1542 
     15323171     PULS   1554 
     15323173     PULS   1554 
     15323175     PULS   1566 
     15323177     PULS   1589 
     15323179     PULS   1589 
     15323181     PULS   1589 
     15323183     PULS   1601 
     15323185     PULS   1601 
     15323187     PULS   1601 
     15323189     PULS   1601 
     15323191     PULS   1601 
     15323193     PULS   1601 
     15323195     PULS   1601 
     15323197     PULS   1601 
     15323199     PULS   1601 
     15323201     PULS   1613 
     15323203     PULS   1601 
     15323205     PULS   1613 
     15323207     PULS   1613 
     15323209     PULS   1636 
     15323211     PULS   1648 
     15323213     PULS   1672 
     15323215     PULS   1672 
     15323217     PULS   1695 
     15323219     PULS   1719 
     15323221     PULS   1730 
     15323223     PULS   1742 
     15323225     PULS   1730 
     15323227     PULS   1742 
     15323229     PULS   1742 
     15323231     PULS   1742 
     15323233     PULS   1730 
     15323235     PULS   1730 
     15323237     PULS   1730 
     15323239     PULS   1719 
     15323241     PULS   1719 
     15323243     PULS   1707 
     15323245     PULS   1719 
     15323247     PULS   1719 
     15323249     PULS   1730 
     15323251     PULS   1754 
     15323253     PULS   1777 
     15323255     PULS   1801 
     15323257     PULS   1813 
     15323259     PULS   1824 
     15323261     PULS   1836 
     15323263     PULS   1836 
     15323265     PULS   1836 
     15323267     PULS   1824 
     15323269     PULS   1824 
     15323271     PULS   1813 
     15323273     PULS   1801 
     15323275     PULS   1789 
     15323277     PULS   1789 
     15323279     PULS   1777 
     15323281     PULS   1766 
     15323283     PULS   1754 
     15323285     PULS   1719 
     15323287     PULS   1695 
     15323289     PULS   1672 
     15323291     PULS   1636 
     15323293     PULS   1625 
     15323295     PULS   1601 
     15323297     PULS   1578 
     15323299     PULS   1566 
     15323301     PULS   1566 
     15323303     PULS   1566 
     15323305     PULS   1566 
     15323307     PULS   1554 
     15323309     PULS   1554 
     15323311     PULS   1554 
     15323313     PULS   1554 
     15323315     PULS   1554 
     15323317     PULS   1554 
     15323319     PULS   1554 
     15323321     PULS   1589 
     15323323     PULS   1636 
     15323325     PULS   1672 
     15323327     PULS   1730 
     15323329     PULS   1766 
     15323331     PULS   1801 
     15323333     PULS   1824 
     15323335     PULS   1860 
     15323337     PULS   1871 
     15323339     PULS   1883 
     15323341     PULS   1883 
     15323343     PULS   1883 
     15323345     PULS   1883 
     15323347     PULS   1883 
     15323349     PULS   1871 
     15323351     PULS   1848 
     15323353     PULS   1836 
     15323355     PULS   1836 
     15323357     PULS   1836 
     15323359     PULS   1860 
     15323361     PULS   1871 
     15323363     PULS   1883 
