UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 69
NumVolumes  = 380
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     4      62         15337161         15337175     0
     4      18         15337196         15337210     0
     4      41         15337196         15337210     0
     4      64         15337196         15337210     0
     4      20         15337230         15337244     0
     4      43         15337230         15337244     0
     4      66         15337230         15337244     0
     4      22         15337265         15337279     0
     4      45         15337265         15337279     0
     4      68         15337265         15337279     0
     4       1         15337299         15337313     0
     4      24         15337299         15337313     0
     4      47         15337299         15337313     0
     4       3         15337333         15337348     0
     4      26         15337333         15337348     0
     4      49         15337333         15337348     0
     4       5         15337368         15337382     0
     4      28         15337368         15337382     0
     4      51         15337368         15337382     0
     4       7         15337402         15337416     0
     4      30         15337402         15337416     0
     4      53         15337402         15337416     0
     4       9         15337437         15337451     0
     4      32         15337437         15337451     0
     4      55         15337437         15337451     0
     4      11         15337471         15337485     0
     4      34         15337471         15337485     0
     4      57         15337471         15337485     0
     4      13         15337506         15337520     0
     4      36         15337506         15337520     0
     4      59         15337506         15337520     0
     4      15         15337540         15337554     0
     4      38         15337540         15337554     0
     4      61         15337540         15337554     0
     4      17         15337574         15337589     0
     4      40         15337574         15337589     0
     4      63         15337574         15337589     0
     4      19         15337609         15337623     0
     4      42         15337609         15337623     0
     4      65         15337609         15337623     0
     4      21         15337643         15337657     0
     4      44         15337643         15337657     0
     4      67         15337643         15337657     0
     5       0         15337686         15337700     0
     5      23         15337686         15337700     0
     5      46         15337686         15337700     0
     5       2         15337720         15337734     0
     5      25         15337720         15337734     0
     5      48         15337720         15337734     0
     5       4         15337755         15337769     0
     5      27         15337755         15337769     0
     5      50         15337755         15337769     0
     5       6         15337789         15337803     0
     5      29         15337789         15337803     0
     5      52         15337789         15337803     0
     5       8         15337824         15337838     0
     5      31         15337824         15337838     0
     5      54         15337824         15337838     0
     5      10         15337858         15337872     0
     5      33         15337858         15337872     0
     5      56         15337858         15337872     0
     5      12         15337892         15337907     0
     5      35         15337892         15337907     0
     5      58         15337892         15337907     0
     5      14         15337927         15337941     0
     5      37         15337927         15337941     0
     5      60         15337927         15337941     0
     5      16         15337961         15337975     0
     5      39         15337961         15337975     0
     5      62         15337961         15337975     0
     5      18         15337996         15338010     0
     5      41         15337996         15338010     0
     5      64         15337996         15338010     0
     5      20         15338030         15338044     0
     5      43         15338030         15338044     0
     5      66         15338030         15338044     0
     5      22         15338065         15338079     0
     5      45         15338065         15338079     0
     5      68         15338065         15338079     0
     5       1         15338099         15338113     0
     5      24         15338099         15338113     0
     5      47         15338099         15338113     0
     5       3         15338133         15338148     0
     5      26         15338133         15338148     0
     5      49         15338133         15338148     0
     5       5         15338168         15338182     0
     5      28         15338168         15338182     0
     5      51         15338168         15338182     0
     5       7         15338202         15338216     0
     5      30         15338202         15338216     0
     5      53         15338202         15338216     0
     5       9         15338237         15338251     0
     5      32         15338237         15338251     0
     5      55         15338237         15338251     0
     5      11         15338271         15338285     0
     5      34         15338271         15338285     0
     5      57         15338271         15338285     0
     5      13         15338306         15338320     0
     5      36         15338306         15338320     0
     5      59         15338306         15338320     0
     5      15         15338340         15338354     0
     5      38         15338340         15338354     0
     5      61         15338340         15338354     0
     5      17         15338374         15338389     0
     5      40         15338374         15338389     0
     5      63         15338374         15338389     0
     5      19         15338409         15338423     0
     5      42         15338409         15338423     0
     5      65         15338409         15338423     0
     5      21         15338443         15338457     0
     5      44         15338443         15338457     0
     5      67         15338443         15338457     0
     6       0         15338486         15338500     0
     6      23         15338486         15338500     0
     6      46         15338486         15338500     0
     6       2         15338520         15338534     0
     6      25         15338520         15338534     0
     6      48         15338520         15338534     0
